_id,author,category,createdAt,description,level,name,numReviews,numberofvedio,numnberofenroll,reviews,thumbnail
64a4e34afb3c0d60d3ac84e8,6461abc29378d1e130fb16ba,64a4e304610000aeed38a1ec,2023-07-05T03:28:10.403Z,This is a course description,Basic,Course perfect,0,3,0,[],https://via.placeholder.com/150/92c952
64a4e433fb3c0d60d3ac84f3,6461abc29378d1e130fb16ba,64a4e304610000aeed38a1ec,2023-07-05T03:32:03.554Z,This is a course description,Intermediate,react for beginner,0,3,0,[],https://via.placeholder.com/150/771796
64a4e449fb3c0d60d3ac84fb,6461abc29378d1e130fb16ba,64a4e304610000aeed38a1ec,2023-07-05T03:32:25.041Z,This is a course description,Intermediate,html,0,3,0,[],https://via.placeholder.com/150/24f355
64a4e453fb3c0d60d3ac8503,6461abc29378d1e130fb16ba,64a4e304610000aeed38a1ec,2023-07-05T03:32:35.584Z,This is a course description,Advanced,css,0,3,0,[],https://via.placeholder.com/150/f66b97
64a4e466fb3c0d60d3ac850b,6461abc29378d1e130fb16ba,64a4e304610000aeed38a1ec,2023-07-05T03:32:54.790Z,This is a course description,Intermediate,java core,0,3,0,[],https://via.placeholder.com/150/d32776
64a4e46efb3c0d60d3ac8513,6461abc29378d1e130fb16ba,64a4e304610000aeed38a1ec,2023-07-05T03:33:02.206Z,This is a course description,Intermediate,java Spring ,0,3,0,[],https://example.com/course-thumbnail.jpg
64a4e471fb3c0d60d3ac851b,6461abc29378d1e130fb16ba,64a4e304610000aeed38a1ec,2023-07-05T03:33:05.801Z,This is a course description,Intermediate,java Spring EE,0,3,0,[],https://example.com/course-thumbnail.jpg
64aa9b7193e04a86ceea137e,649eae69aaf9bc096ded0bc5,64a4e304610000aeed38a1ec,2023-07-09T11:35:13.980Z,ahkhshdihsdj,Intermediate,ahfhhf,0,1,0,[],https://via.placeholder.com/150/92c952
64ab6ded09cfe1006c6db6d5,649eae69aaf9bc096ded0bc5,64a4e304610000aeed38a1ec,2023-07-10T02:33:17.381Z,lajsdljdlakj,Advance,lfajlfjalks,0,1,0,[],fladfafh
64f1d1d363e38f402a52fb6a,649eae69aaf9bc096ded0bc5,64a4e304610000aeed38a1ec,2023-09-01T11:58:11.930Z,"Intro to React: Component-based UI, state management, JSX syntax for dynamic web app development",Intermediate,React basic ,0,4,0,[],https://res.cloudinary.com/dmox5rnsj/image/upload/v1693568116/react.js-img_m0j2ue.png
64f2078e63063c374bb3f4ed,6461abc29378d1e130fb16ba,64a4e304610000aeed38a1ec,2023-09-01T15:47:26.684Z,"Intro to React: Component-based UI, state management, JSX syntax for dynamic web app development",Intermediate,React basic ,0,4,0,[],https://res.cloudinary.com/dmox5rnsj/image/upload/v1693568116/react.js-img_m0j2ue.png
64f28f8272198c7979d37040,6461abc29378d1e130fb16ba,64a4e304610000aeed38a1ec,2023-09-02T01:27:30.803Z,"Intro to React: Component-based UI, state management, JSX syntax for dynamic web app development",Intermediate,Ultimate Investment Banking Course,0,4,0,[],https://res.cloudinary.com/dmox5rnsj/image/upload/v1693568116/react.js-img_m0j2ue.png
64f28f8772198c7979d3704c,6461abc29378d1e130fb16ba,64a4e304610000aeed38a1ec,2023-09-02T01:27:35.166Z,"Intro to React: Component-based UI, state management, JSX syntax for dynamic web app development",Intermediate,Complete GST Course & Certification - Grow Your CA Practice,0,4,0,[],https://res.cloudinary.com/dmox5rnsj/image/upload/v1693568116/react.js-img_m0j2ue.png
64f28f8772198c7979d37057,6461abc29378d1e130fb16ba,64a4e304610000aeed38a1ec,2023-09-02T01:27:35.498Z,"Intro to React: Component-based UI, state management, JSX syntax for dynamic web app development",Intermediate,Financial Modeling for Business Analysts and Consultants,0,4,0,[],https://res.cloudinary.com/dmox5rnsj/image/upload/v1693568116/react.js-img_m0j2ue.png
64f28f8772198c7979d37062,6461abc29378d1e130fb16ba,64a4e304610000aeed38a1ec,2023-09-02T01:27:35.837Z,"Intro to React: Component-based UI, state management, JSX syntax for dynamic web app development",Intermediate,Beginner to Pro - Financial Analysis in Excel 2017,0,4,0,[],https://res.cloudinary.com/dmox5rnsj/image/upload/v1693568116/react.js-img_m0j2ue.png
